parameter,term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
rft,.x$value,B-A,0,0,-1.7243798173664153e-15,1.7243798173664153e-15,1
rft,.x$value,C-A,0,0.055069176517886564,0.055069176517884164,0.055069176517888965,0
rft,.x$value,C-B,0,0.055069176517886564,0.05506917651788425,0.05506917651788888,0
rft,.x$value,2-1,0,0.0036472250506796033,-0.0014115298394149689,0.008705979940774176,0.1568178279574015
rft,.x$value,medium-large,0,0.004124351891825029,-0.002387061684336074,0.010635765467986131,0.21331897937685507
ft,.x$value,B-A,0,-4.440892098500626e-16,-1.6045553107896853e-15,7.163768910895601e-16,0.6391762647717731
ft,.x$value,C-A,0,0.09769110803103653,0.09769110803103492,0.09769110803103814,0
ft,.x$value,C-B,0,0.09769110803103698,0.09769110803103542,0.09769110803103853,0
ft,.x$value,2-1,0,0.006470070536167327,-0.002504012639204819,0.015444153711539474,0.1568178279574819
ft,.x$value,medium-large,0,0.0073164795934690385,-0.004234577591795113,0.01886753677873319,0.21331897937688715
v,.x$value,B-A,0,-4.440892098500626e-16,-3.1747782778700856e-15,2.2865998581699604e-15,0.922126577699069
v,.x$value,C-A,0,0.15256952881691865,0.15256952881691485,0.15256952881692246,0
v,.x$value,C-B,0,0.1525695288169191,0.15256952881691543,0.15256952881692276,0
v,.x$value,2-1,0,0.010104661857265329,-0.003910653039105585,0.024119976753636245,0.15681782795751387
v,.x$value,medium-large,0,0.01142654502208651,-0.006613370663311791,0.02946646070748481,0.21331897937689415
