parameter,term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
rft,.x$value,2-1,0,3.673336273282146e-4,-0.0040200351720991075,0.004754702426755537,0.978714184012393
rft,.x$value,3-1,0,6.294120422110083e-4,-0.004013661924702802,0.005272486009124819,0.9451740834112651
rft,.x$value,3-2,0,2.620784148827937e-4,-0.004328217793468601,0.004852374623234189,0.9900438130888467
rft,.x$value,B-A,0,0,-1.1680734822201952e-15,1.1680734822201952e-15,1
rft,.x$value,C-A,0,-0.026034770836935506,-0.02603477083693677,-0.026034770836934243,5.10702591327572e-15
rft,.x$value,C-B,0,-0.026034770836935506,-0.02603477083693676,-0.02603477083693425,5.10702591327572e-15
rft,.x$value,medium-large,0,-4.0308843736580613e-4,-0.0038540369525741558,0.0030478600778425435,0.8181536367344968
ft,.x$value,2-1,0,8.967444058705087e-4,-0.009813814428585435,0.011607303240326453,0.9787141840123468
ft,.x$value,3-1,0,0.001536537049290132,-0.009798255891265104,0.012871329989845368,0.9451740834112086
ft,.x$value,3-2,0,6.397926434196233e-4,-0.010566157860113395,0.011845743146952642,0.9900438130888518
ft,.x$value,B-A,0,0,-1.156485326384435e-15,1.156485326384435e-15,1
ft,.x$value,C-A,0,-0.06355675976612041,-0.06355675976612166,-0.06355675976611916,5.10702591327572e-15
ft,.x$value,C-B,0,-0.06355675976612041,-0.06355675976612166,-0.06355675976611916,5.10702591327572e-15
ft,.x$value,medium-large,0,-9.84029978163825e-4,-0.009408575257248173,0.007440515300920523,0.8181536367344249
v,.x$value,2-1,0,0.003902597468049551,-0.04270934626426332,0.050514541200362424,0.9787141840123055
v,.x$value,3-1,0,0.006686950661599411,-0.04264163610297862,0.056015537426177445,0.9451740834111507
v,.x$value,3-2,0,0.00278435319354986,-0.045983516196926866,0.051552222584026586,0.9900438130888533
v,.x$value,B-A,0,-2.220446049250313e-16,-1.6068300873373577e-15,1.162740877487295e-15,0.9241541645036174
v,.x$value,C-A,0,-0.27659659554794913,-0.27659659554795063,-0.27659659554794763,5.10702591327572e-15
v,.x$value,C-B,0,-0.2765965955479489,-0.2765965955479504,-0.2765965955479474,5.10702591327572e-15
v,.x$value,medium-large,0,-0.004282460951107181,-0.04094576083941302,0.03238083893719866,0.8181536367343769
